CustomerID,Recency,Frequency,Monetary,AveragePurchase,Cluster,PCA1,PCA2
12347.0,96.0,7,4310.0,615.7142857142857,0,1.2192830118842148,0.30215586107102355
12348.0,221.0,4,1797.24,449.31,0,-0.20141700713357846,-0.5576903603197096
12350.0,312.0,1,334.4,334.4,0,-1.1169859753380362,-1.1044935348946532
12352.0,275.0,8,2506.04,313.255,0,-0.34319995825018645,0.33547181846526564
12355.0,97.0,1,459.4,459.4,0,-0.6514660551349652,-1.3300313335652767
12356.0,129.0,3,2811.43,937.1433333333333,0,1.7221819752177616,-1.371928897105649
12357.0,183.0,1,6207.67,6207.67,0,20.252179949095865,-12.786910964048673
12358.0,4.0,2,1168.06,584.03,0,0.013536720811444747,-1.2572837415466036
12359.0,10.0,4,6372.58,1593.145,0,5.056135836047078,-1.3970050144962676
12362.0,31.0,10,5226.23,522.6229999999999,0,1.269774294935797,1.1206681995187617
12363.0,37.0,2,552.0,276.0,0,-1.2060440712946203,-0.7745168846232298
12364.0,302.0,4,1313.1,328.275,0,-0.7607095224146757,-0.4752629920399645
12367.0,213.0,1,168.9,168.9,0,-1.7139522182308424,-0.7641316921357706
12370.0,69.0,4,3545.69,886.4225,0,1.8113436147462632,-0.8706653353131751
12371.0,31.0,2,1887.96,943.98,0,1.4353718219486673,-1.828557848112279
12372.0,36.0,3,1298.04,432.68,0,-0.4274271013671287,-0.773408554035671
12373.0,343.0,1,364.6,364.6,0,-1.008706613129124,-1.1680094149991183
12375.0,305.0,2,457.5,228.75,0,-1.4064040027966462,-0.7290761279125635
12378.0,306.0,1,4008.62,4008.62,0,12.247434929525264,-8.420948386656493
12380.0,158.0,4,2724.81,681.2025,0,0.8654813597094946,-0.725645985891043
12381.0,1.0,5,1845.31,369.062,0,-0.4194787507477138,-0.2511141486094229
12383.0,10.0,5,1850.56,370.11199999999997,0,-0.4147845158013519,-0.25245189592793893
12384.0,30.0,2,585.27,292.635,0,-1.139917643862393,-0.8000206522017789
12386.0,193.0,2,401.9,200.95,0,-1.5106637360112773,-0.6729940492112328
12388.0,99.0,6,2780.66,463.4433333333333,0,0.20720264845752245,-0.03291373692690813
12393.0,40.0,4,1582.6000000000001,395.65000000000003,0,-0.43841721438738523,-0.49754259468311224
12394.0,154.0,2,1272.48,636.24,0,0.21239094225453203,-1.3560426613077172
12395.0,6.0,12,3018.63,251.5525,0,-0.2838891075148653,1.0040934167429154
12397.0,244.0,2,2409.9,1204.95,0,2.4564553384407404,-2.263789909897727
12399.0,3.0,4,1108.65,277.1625,0,-0.9800628293836517,-0.4041949153072685
12401.0,100.0,1,84.3,84.3,0,-2.015956324467181,-0.5833564906749396
12406.0,96.0,2,3415.3,1707.65,0,4.451547643572924,-3.0414128594052894
12407.0,187.0,5,1708.1200000000001,341.624,0,-0.563423565787554,-0.261989926538497
12408.0,153.0,5,2888.55,577.71,0,0.5959937719788944,-0.3388671695020547
12409.0,66.0,3,11072.67,3690.89,0,13.485221699118243,-4.577011000062737
12410.0,253.0,2,693.3299999999999,346.66499999999996,0,-0.9375552500412222,-0.9095970692041657
12413.0,193.0,3,758.1,252.70000000000002,0,-1.203961995275418,-0.5805667028865051
12414.0,189.0,3,562.41,187.47,0,-1.482324205046671,-0.504047918362619
12415.0,71.0,21,124914.53,5948.310952380953,2,57.422383662918456,38.218107160814775
12417.0,182.0,9,3649.1,405.4555555555555,0,0.35165273774782135,0.6653885457977456
12420.0,154.0,1,600.39,600.39,0,-0.1415274179949465,-1.617011756656427
12422.0,216.0,3,803.5600000000001,267.85333333333335,0,-1.1404117226734105,-0.6007442277716304
12423.0,90.0,8,1859.31,232.41375,0,-0.8070630776220313,0.28314367369272386
12427.0,62.0,3,825.8,275.26666666666665,0,-1.1009732006576973,-0.5926328063176178
12428.0,33.0,9,7956.46,884.0511111111111,0,3.312197832050409,1.308019305659708
12429.0,455.0,4,3750.4,937.6,0,2.026599927956311,-0.9512497330254546
12431.0,3.0,15,6487.45,432.49666666666667,0,1.4816308964640346,2.210124523907602
12433.0,90.0,7,13375.87,1910.8385714285716,0,8.390620665623318,0.9293641148270696
12436.0,336.0,1,509.01,509.01,0,-0.4830953061328804,-1.4548362077363657
12437.0,10.0,18,4951.41,275.0783333333333,0,0.5384554563257484,2.1637804196770296
12441.0,486.0,1,173.55,173.55,0,-1.7108306238887785,-0.8030998391706724
12442.0,182.0,1,172.06,172.06,0,-1.700892365722894,-0.7670513317394919
12444.0,1.0,5,5005.46,1001.092,0,2.6798195368242848,-0.46682856762805336
12447.0,68.0,1,476.49,476.49,0,-0.5878401165582634,-1.3609098234492079
12449.0,93.0,4,4067.29,1016.8225,0,2.408289887120513,-0.9715785499708001
12450.0,187.0,2,197.88,98.94,0,-1.9136959231686732,-0.5112744475072251
12451.0,215.0,5,9035.52,1807.104,0,6.621465802219356,-0.7652111866734534
12455.0,187.0,6,2466.86,411.1433333333334,0,-0.07026647417637732,-0.04621562512301636
12457.0,245.0,7,2363.23,337.6042857142857,0,-0.32812465630569954,0.1513976346291076
12461.0,126.0,2,826.88,413.44,0,-0.6671189944316211,-1.0012100297907742
12462.0,100.0,2,1189.59,594.795,0,0.05125041229822869,-1.2847276255657554
12463.0,7.0,4,1344.78,336.195,0,-0.709476522250552,-0.4491316181630415
12464.0,284.0,8,1212.05,151.50625,0,-1.2904607081420547,0.18951345043885548
12468.0,219.0,2,729.5400000000001,364.77000000000004,0,-0.8642526051337478,-0.9344837302716829
12471.0,152.0,30,19824.05,660.8016666666666,0,6.785975185081313,8.195284687500346
12472.0,153.0,7,6572.11,938.8728571428571,0,3.00571531248919,0.45229081419813866
12473.0,61.0,5,3938.5499999999997,787.7099999999999,0,1.6304227680147374,-0.40052960686033867
12474.0,4.0,18,7375.79,409.7661111111111,0,1.7536011618010372,2.8408007428370374
